id;name;host_id;host_name;distrito;barrio;room_type;price;minimum_nights;availability_365;superficie_km2;densidad_por_km2
1,02833E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;31127756;Eloísa;Centro;Universidad;Entire home/apt;76;4;264;93;3305161
1,02975E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 shared bath;349301050;Paula;Centro;Embajadores;Private room;22;1;21;103;4334563
1,0298E+18;Home in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;547576266;Winman;Latina;Lucero;Private room;40;1;243;170;2075647
1,02836E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;153527179;Cesare;Carabanchel;Comillas;Entire home/apt;40;2;159;67;3300000
1,02982E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;48890685;Marta;Chamartín;Hispanoamérica;Entire home/apt;87;1;86;171;1826667
1,02841E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;547273294;Carlos Eduardo;Chamberí;Gaztambide;Entire home/apt;80;2;40;49;4573265
1,02991E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;11769281;Giuliana & Mario;Chamartín;Hispanoamérica;Private room;50;1;269;171;1826667
1,02856E+18;Rental unit in Madrid · ?4.40 · 1 bedroom · 1 bed · 1 bath;461634064;Francis;Centro;Embajadores;Private room;47;3;17;103;4334563
1,02871E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 1 bath;408132653;Vip Stay;Centro;Embajadores;Entire home/apt;76;1;182;103;4334563
1,0301E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 1 bath;461634064;Francis;Arganzuela;Palos de Moguer;Entire home/apt;84;3;13;65;3937231
1,03018E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 2 baths;25280313;Fernando José;Centro;Universidad;Entire home/apt;131;1;295;93;3305161
1,02874E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;547330152;Carlos;Centro;Cortes;Entire home/apt;100;1;84;59;1785085
